"order_line","order_id","order_date","ship_date","ship_mode","customer_id","product_id","sales","quantity","discount","profit","sgst"
1,"CA-2016-152156","2016-11-08","2016-11-11","Second Class","CG-12520","FUR-BO-10001798","261.96",2,"0","41.9136","0"
2,"CA-2016-152156","2016-11-08","2016-11-11","Second Class","CG-12520","FUR-CH-10000454","731.94",3,"0","219.582","0"
3,"CA-2016-138688","2016-06-12","2016-06-16","Second Class","DV-13045","OFF-LA-10000240","14.62",2,"0","6.8714","0"
4,"US-2015-108966","2015-10-11","2015-10-18","Standard Class","SO-20335","FUR-TA-10000577","957.5775",5,"0.45","-383.031","0"
5,"US-2015-108966","2015-10-11","2015-10-18","Standard Class","SO-20335","OFF-ST-10000760","22.368",2,"0.2","2.5164","0"
6,"CA-2014-115812","2014-06-09","2014-06-14","Standard Class","BH-11710","FUR-FU-10001487","48.86",7,"0","14.1694","0"
7,"CA-2014-115812","2014-06-09","2014-06-14","Standard Class","BH-11710","OFF-AR-10002833","7.28",4,"0","1.9656","0"
8,"CA-2014-115812","2014-06-09","2014-06-14","Standard Class","BH-11710","TEC-PH-10002275","907.152",6,"0.2","90.7152","0"
9,"CA-2014-115812","2014-06-09","2014-06-14","Standard Class","BH-11710","OFF-BI-10003910","18.504",3,"0.2","5.7825","0"
10,"CA-2014-115812","2014-06-09","2014-06-14","Standard Class","BH-11710","OFF-AP-10002892","114.9",5,"0","34.47","0"
11,"CA-2014-115812","2014-06-09","2014-06-14","Standard Class","BH-11710","FUR-TA-10001539","1706.184",9,"0.2","85.3092","0"
12,"CA-2014-115812","2014-06-09","2014-06-14","Standard Class","BH-11710","TEC-PH-10002033","911.424",4,"0.2","68.3568","0"
13,"CA-2017-114412","2017-04-15","2017-04-20","Standard Class","AA-10480","OFF-PA-10002365","15.552",3,"0.2","5.4432","0"
14,"CA-2016-161389","2016-12-05","2016-12-10","Standard Class","IM-15070","OFF-BI-10003656","407.976",3,"0.2","132.5922","0"
15,"US-2015-118983","2015-11-22","2015-11-26","Standard Class","HP-14815","OFF-AP-10002311","68.81",5,"0.8","-123.858","0"
16,"US-2015-118983","2015-11-22","2015-11-26","Standard Class","HP-14815","OFF-BI-10000756","2.544",3,"0.8","-3.816","0"
17,"CA-2014-105893","2014-11-11","2014-11-18","Standard Class","PK-19075","OFF-ST-10004186","665.88",6,"0","13.3176","0"
